profileID,respID,qID,altID,obsID,price,weight,poweroutput,charge_cycles_per_day,technology,image
14,2,2,1,10,50,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
60,2,2,2,10,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
2,2,3,1,11,50,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
20,2,3,2,11,50,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
14,2,4,1,12,50,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
26,2,4,2,12,50,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,2,5,1,13,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
18,2,5,2,13,50,70,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
36,2,6,1,14,50,182,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
63,2,6,2,14,30,182,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
43,2,7,1,15,30,182,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
22,2,7,2,15,50,70,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
46,2,8,1,16,50,70,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
49,2,8,2,16,30,70,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
7,3,1,1,17,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
61,3,1,2,17,30,70,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
42,3,2,1,18,50,70,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
59,3,2,2,18,30,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
5,3,3,1,19,30,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
52,3,3,2,19,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
47,3,4,1,20,30,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
21,3,4,2,20,30,70,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
39,3,5,1,21,30,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
30,3,5,2,21,50,70,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
47,3,6,1,22,30,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
27,3,6,2,22,30,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
2,3,7,1,23,50,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
52,3,7,2,23,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
13,3,8,1,24,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
24,3,8,2,24,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
39,4,1,1,25,30,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
54,4,1,2,25,50,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
7,4,2,1,26,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
24,4,2,2,26,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
40,4,3,1,27,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
52,4,3,2,27,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
2,4,4,1,28,50,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
57,4,4,2,28,30,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
15,4,5,1,29,30,182,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
52,4,5,2,29,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
13,4,6,1,30,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
52,4,6,2,30,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
40,4,7,1,31,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
24,4,7,2,31,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
34,4,8,1,32,50,70,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
27,4,8,2,32,30,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
42,5,1,1,33,50,70,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
64,5,1,2,33,50,182,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
1,5,2,1,34,30,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
54,5,2,2,34,50,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
42,5,3,1,35,50,70,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
26,5,3,2,35,50,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
14,5,4,1,36,50,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
57,5,4,2,36,30,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
1,5,5,1,37,30,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
62,5,5,2,37,50,70,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
44,5,6,1,38,50,182,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
60,5,6,2,38,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
37,5,7,1,39,30,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
17,5,7,2,39,30,70,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
9,5,8,1,40,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
55,5,8,2,40,30,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
9,6,1,1,41,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
24,6,1,2,41,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
40,6,2,1,42,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
27,6,2,2,42,30,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
44,6,3,1,43,50,182,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
56,6,3,2,43,50,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
48,6,4,1,44,50,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
19,6,4,2,44,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
37,6,5,1,45,30,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
23,6,5,2,45,30,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,6,6,1,46,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
32,6,6,2,46,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
9,6,7,1,47,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
32,6,7,2,47,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
38,6,8,1,48,50,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
60,6,8,2,48,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
41,7,1,1,49,30,70,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
55,7,1,2,49,30,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
16,7,2,1,50,50,182,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
60,7,2,2,50,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
9,7,3,1,51,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
57,7,3,2,51,30,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
6,7,4,1,52,50,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
19,7,4,2,52,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
37,7,5,1,53,30,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
54,7,5,2,53,50,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
5,7,6,1,54,30,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
28,7,6,2,54,50,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
36,7,7,1,55,50,182,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
58,7,7,2,55,50,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
43,7,8,1,56,30,182,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
60,7,8,2,56,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
38,8,1,1,57,50,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
61,8,1,2,57,30,70,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
13,8,2,1,58,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
53,8,2,2,58,30,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
36,8,3,1,59,50,182,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
53,8,3,2,59,30,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
48,8,4,1,60,50,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
56,8,4,2,60,50,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
10,8,5,1,61,50,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
19,8,5,2,61,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
3,8,6,1,62,30,182,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
18,8,6,2,62,50,70,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
45,8,7,1,63,30,70,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
57,8,7,2,63,30,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
1,8,8,1,64,30,70,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
59,8,8,2,64,30,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
5,9,1,1,65,30,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
31,9,1,2,65,30,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
40,9,2,1,66,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
53,9,2,2,66,30,70,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
13,9,3,1,67,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
26,9,3,2,67,50,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
34,9,4,1,68,50,70,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
56,9,4,2,68,50,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
33,9,5,1,69,30,70,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
50,9,5,2,69,50,70,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
3,9,6,1,70,30,182,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
21,9,6,2,70,30,70,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
5,9,7,1,71,30,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
20,9,7,2,71,50,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
45,9,8,1,72,30,70,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
51,9,8,2,72,30,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
15,10,1,1,73,30,182,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
25,10,1,2,73,30,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
13,10,2,1,74,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
23,10,2,2,74,30,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
39,10,3,1,75,30,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
31,10,3,2,75,30,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
11,10,4,1,76,30,182,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
52,10,4,2,76,50,182,10,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
36,10,5,1,77,50,182,10,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
21,10,5,2,77,30,70,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
13,10,6,1,78,30,70,80,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
56,10,6,2,78,50,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
37,10,7,1,79,30,70,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
61,10,7,2,79,30,70,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
3,10,8,1,80,30,182,10,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
23,10,8,2,80,30,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,11,1,1,81,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
25,11,1,2,81,30,70,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
11,11,2,1,82,30,182,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
32,11,2,2,82,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
7,11,3,1,83,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
64,11,3,2,83,50,182,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
40,11,4,1,84,50,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
32,11,4,2,84,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
39,11,5,1,85,30,182,80,1,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
32,11,5,2,85,50,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
9,11,6,1,86,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
27,11,6,2,86,30,182,10,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
45,11,7,1,87,30,70,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
17,11,7,2,87,30,70,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
11,11,8,1,88,30,182,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
55,11,8,2,88,30,182,80,1,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
7,12,1,1,89,30,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
58,12,1,2,89,50,70,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
47,12,2,1,90,30,182,80,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
24,12,2,2,90,50,182,80,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
9,12,3,1,91,30,70,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
19,12,3,2,91,30,182,10,1,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
12,12,4,1,92,50,182,10,3,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
60,12,4,2,92,50,182,10,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
6,12,5,1,93,50,70,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
31,12,5,2,93,30,182,80,3,battery pack,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
8,12,6,1,94,50,182,80,1,solar case,https://raw.githubusercontent.com/NiveaditaRazdan/Project/main/NIMBLE.jpg
63,12,6,2,94,30,182,80,3,battery pack,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
41,12,7,1,95,30,70,10,3,solar case,https://raw.githubusercontent.com/apnguyen98/emse6035/main/EEFB51DB-1A71-40A1-B5C5-4501993A2A45.jpeg
